ID,Date,Time,Category,Details,Image Path,id,date,time,class,details,image_path
147.0,"April 08, 2025",02:26 PM,Mobile Detected,Mobile Detected detected with 0.66 confidence,cheating_frames/Mobile Detected_2025-04-08_14-26-07.jpg,,,,,,
148.0,"April 08, 2025",02:26 PM,Normal,Normal detected with 0.47 confidence,cheating_frames/Normal_2025-04-08_14-26-08.jpg,,,,,,
149.0,"April 08, 2025",02:26 PM,Mobile Detected,Mobile Detected detected with 0.43 confidence,cheating_frames/Mobile Detected_2025-04-08_14-26-20.jpg,,,,,,
150.0,"April 08, 2025",02:26 PM,Mobile Detected,Mobile Detected detected with 0.58 confidence,cheating_frames/Mobile Detected_2025-04-08_14-26-27.jpg,,,,,,
151.0,"April 08, 2025",02:26 PM,Cheating,Cheating detected with 0.55 confidence,cheating_frames/Cheating_2025-04-08_14-26-30.jpg,,,,,,
152.0,"April 08, 2025",02:26 PM,Mobile Detected,Mobile Detected detected with 0.43 confidence,cheating_frames/Mobile Detected_2025-04-08_14-26-34.jpg,,,,,,
153.0,"April 08, 2025",02:26 PM,Mobile Detected,Mobile Detected detected with 0.83 confidence,cheating_frames/Mobile Detected_2025-04-08_14-26-39.jpg,,,,,,
154.0,"April 08, 2025",02:26 PM,Normal,Normal detected with 0.73 confidence,cheating_frames/Normal_2025-04-08_14-26-46.jpg,,,,,,
155.0,"April 08, 2025",02:26 PM,Mobile Detected,Mobile Detected detected with 0.63 confidence,cheating_frames/Mobile Detected_2025-04-08_14-26-53.jpg,,,,,,
156.0,"April 08, 2025",02:26 PM,Normal,Normal detected with 0.57 confidence,cheating_frames/Normal_2025-04-08_14-26-53.jpg,,,,,,
157.0,"April 08, 2025",02:27 PM,Cheating,Cheating detected with 0.51 confidence,cheating_frames/Cheating_2025-04-08_14-27-00.jpg,,,,,,
158.0,"April 08, 2025",02:27 PM,Normal,Normal detected with 0.42 confidence,cheating_frames/Normal_2025-04-08_14-27-08.jpg,,,,,,
159.0,"April 08, 2025",02:27 PM,Mobile Detected,Mobile Detected detected with 0.62 confidence,cheating_frames/Mobile Detected_2025-04-08_14-27-46.jpg,,,,,,
160.0,"April 08, 2025",02:28 PM,Mobile Detected,Mobile Detected detected with 0.50 confidence,cheating_frames/Mobile Detected_2025-04-08_14-28-02.jpg,,,,,,
161.0,"April 08, 2025",02:28 PM,Giving Cheats,Giving Cheats detected with 0.43 confidence,cheating_frames/Giving Cheats_2025-04-08_14-28-02.jpg,,,,,,
162.0,"April 08, 2025",02:28 PM,Cheating,Cheating detected with 0.51 confidence,cheating_frames/Cheating_2025-04-08_14-28-08.jpg,,,,,,
163.0,"April 08, 2025",02:28 PM,Mobile Detected,Mobile Detected detected with 0.40 confidence,cheating_frames/Mobile Detected_2025-04-08_14-28-09.jpg,,,,,,
164.0,"April 08, 2025",02:28 PM,Giving Cheats,Giving Cheats detected with 0.46 confidence,cheating_frames/Giving Cheats_2025-04-08_14-28-15.jpg,,,,,,
165.0,"April 08, 2025",02:28 PM,Mobile Detected,Mobile Detected detected with 0.42 confidence,cheating_frames/Mobile Detected_2025-04-08_14-28-17.jpg,,,,,,
166.0,"April 08, 2025",02:28 PM,Mobile Detected,Mobile Detected detected with 0.52 confidence,cheating_frames/Mobile Detected_2025-04-08_14-28-23.jpg,,,,,,
167.0,"April 08, 2025",02:28 PM,Mobile Detected,Mobile Detected detected with 0.53 confidence,cheating_frames/Mobile Detected_2025-04-08_14-28-28.jpg,,,,,,
168.0,"April 08, 2025",02:28 PM,Cheating,Cheating detected with 0.47 confidence,cheating_frames/Cheating_2025-04-08_14-28-30.jpg,,,,,,
169.0,"April 08, 2025",02:28 PM,Mobile Detected,Mobile Detected detected with 0.78 confidence,cheating_frames/Mobile Detected_2025-04-08_14-28-33.jpg,,,,,,
170.0,"April 08, 2025",02:28 PM,Cheating,Cheating detected with 0.61 confidence,cheating_frames/Cheating_2025-04-08_14-28-36.jpg,,,,,,
171.0,"April 08, 2025",02:28 PM,Normal,Normal detected with 0.76 confidence,cheating_frames/Normal_2025-04-08_14-28-42.jpg,,,,,,
